ID,Brand,Name,Original Price,Price,Category,site
22172061,New look,Серая мягкая удлиненная футболка в рубчик New Look,1290,1290,Футболка,asos
22163106,Monki,Длинный трикотажный джемпер черного цвета из переработанных материалов Monki Ackie,2390,2390,Джемпер,asos
22153040,Kavu,Черная футболка с логотипом Kavu,2390,2390,Футболка,asos
22152761,Kavu,Черный лонгслив с логотипом на спине Kavu,3390,3390,Лонгслив,asos
22152077,Kavu,Синий флисовый свитшот Kavu Cavanaugh Aztec,6790,6790,Свитшот,asos
22125409,Fashionkilla,Серые облегающие брюки с разрезами Fashionkilla Plus,2290,2290,Брюки,asos
22125405,Fashionkilla,Черные силуэтные брюки с разрезами Fashionkilla Plus,2290,2290,Брюки,asos
22124842,Fashionkilla,Черный топ в рубчик с V-образным вырезом Fashionkilla,2190,2190,Топ,asos
22124737,Fashionkilla,Серые облегающие джоггеры с разрезами Fashionkilla,2290,2290,Джоггеры,asos
22103717,Hunter,Черная куртка Hunter,10090,10090,Куртка,asos
22103245,Hunter,Фиолетовая виниловая свободная куртка Hunter,12990,12990,Куртка,asos
22102940,As you,Мини-юбка приглушенно-розового цвета со сборками и V-образной передней частью As You,1490,1490,Юбка,asos
22101166,As you,Коричневый кроп-топ в рубчик с декоративным швом под грудью AS YOU,1490,1490,Топ,asos
22095651,Missguided,Oversized-футболка с принтом тай-дай и логотипом Missguided,1790,1790,Футболка,asos
22095072,New look,"Черный мягкий халат с надписью ""hello weekend"" New Look",1990,1990,Халат,asos
22051274,Asos design,Черное платье мини в рубчик с высоким воротником и шнуровкой на спине ASOS DESIGN Petite,2490,2490,Платье,asos
22048125,Vesper,Кроп-топ цвета хаки с контрастными пряжками Vesper Plus,3090,3090,Топ,asos
22048124,Vesper,Кроп-топ цвета хаки с контрастными пряжками Vesper,3090,3090,Топ,asos
22047555,As you,Футболка светло-бежевого цвета AS YOU,790,790,Футболка,asos
22046239,Urban bliss,Белый трикотажный джемпер с карманами и ложным воротником Urban Bliss,2690,2690,Джемпер,asos
22035426,As you,Широкие джоггеры приглушенно-розового цвета As You,1990,1990,Джоггеры,asos
22035419,As you,Кардиган в рубчик с длинными рукавами и оборками по краям приглушенно-розового цвета As You,1790,1790,Кардиган,asos
22035102,As you,Топ с вырезами приглушенно-розового цвета As You,1490,1490,Топ,asos
22035096,As you,Черный сетчатый топ с длинными рукавами AS YOU,990,990,Топ,asos
22024221,Vesper,Платье-футляр миди кобальтового цвета с пышными рукавами Vesper Plus,5190,5190,Платье,asos
22023192,Vesper,Платье макси кобальтового цвета с вырезом и бретельками Vesper,5590,5590,Платье,asos
22022831,Style cheat becca,Черное платье миди Style Cheat Becca,2390,2390,Платье,asos
22004340,As you,Черное платье-поло со сквозной молнией As You,1790,1790,Платье,asos
22003429,As you,Серо-коричневая полупрозрачная юбка миди с ремешками As You,1190,1190,Юбка,asos
21995338,Nike,Белая футболка бойфренда с логотипом Nike,2899,2899,Футболка,asos
